study,reader_or_comparator,condition,question,stratum,n,metric,value,evidence_status
I,luna,R01,user_literal,all,64,invalid,0,verified_from_saved_artifacts
I,luna,R01,prior_external,all,64,G,64,verified_from_saved_artifacts
I,luna,R01,prior_external,all,64,D,64,verified_from_saved_artifacts
I,luna,R01,prior_external,all,64,A,0,verified_from_saved_artifacts
I,luna,R01,prior_external,all,64,U,0,verified_from_saved_artifacts
I,luna,R01,prior_external,all,64,U_unknown,0,verified_from_saved_artifacts
I,luna,R01,prior_external,all,64,W,64,verified_from_saved_artifacts
I,luna,R01,prior_external,all,64,answerable,64,verified_from_saved_artifacts
I,luna,R01,prior_external,all,64,invalid,0,verified_from_saved_artifacts
I,luna,R01,basis_relation,all,64,G,64,verified_from_saved_artifacts
I,luna,R01,basis_relation,all,64,D,0,verified_from_saved_artifacts
I,luna,R01,basis_relation,all,64,A,64,verified_from_saved_artifacts
I,luna,R01,basis_relation,all,64,U,0,verified_from_saved_artifacts
I,luna,R01,basis_relation,all,64,U_unknown,0,verified_from_saved_artifacts
I,luna,R01,basis_relation,all,64,W,0,verified_from_saved_artifacts
I,luna,R01,basis_relation,all,64,answerable,0,verified_from_saved_artifacts
I,luna,R01,basis_relation,all,64,invalid,0,verified_from_saved_artifacts
I,luna,R11,user_literal,all,64,G,62,verified_from_saved_artifacts
I,luna,R11,user_literal,all,64,D,62,verified_from_saved_artifacts
I,luna,R11,user_literal,all,64,A,0,verified_from_saved_artifacts
I,luna,R11,user_literal,all,64,U,2,verified_from_saved_artifacts
I,luna,R11,user_literal,all,64,U_unknown,0,verified_from_saved_artifacts
I,luna,R11,user_literal,all,64,W,62,verified_from_saved_artifacts
I,luna,R11,user_literal,all,64,answerable,64,verified_from_saved_artifacts
I,luna,R11,user_literal,all,64,invalid,0,verified_from_saved_artifacts
I,luna,R11,prior_external,all,64,G,63,verified_from_saved_artifacts
I,luna,R11,prior_external,all,64,D,63,verified_from_saved_artifacts
I,luna,R11,prior_external,all,64,A,0,verified_from_saved_artifacts
I,luna,R11,prior_external,all,64,U,0,verified_from_saved_artifacts
I,luna,R11,prior_external,all,64,U_unknown,0,verified_from_saved_artifacts
I,luna,R11,prior_external,all,64,W,63,verified_from_saved_artifacts
I,luna,R11,prior_external,all,64,answerable,64,verified_from_saved_artifacts
I,luna,R11,prior_external,all,64,invalid,0,verified_from_saved_artifacts
I,luna,R11,basis_relation,all,64,G,54,verified_from_saved_artifacts
I,luna,R11,basis_relation,all,64,D,54,verified_from_saved_artifacts
I,luna,R11,basis_relation,all,64,A,0,verified_from_saved_artifacts
I,luna,R11,basis_relation,all,64,U,9,verified_from_saved_artifacts
I,luna,R11,basis_relation,all,64,U_unknown,0,verified_from_saved_artifacts
I,luna,R11,basis_relation,all,64,W,54,verified_from_saved_artifacts
I,luna,R11,basis_relation,all,64,answerable,64,verified_from_saved_artifacts
I,luna,R11,basis_relation,all,64,invalid,0,verified_from_saved_artifacts
I,sonnet,R00,user_literal,all,64,G,64,verified_from_saved_artifacts
I,sonnet,R00,user_literal,all,64,D,0,verified_from_saved_artifacts
I,sonnet,R00,user_literal,all,64,A,64,verified_from_saved_artifacts
I,sonnet,R00,user_literal,all,64,U,0,verified_from_saved_artifacts
I,sonnet,R00,user_literal,all,64,U_unknown,0,verified_from_saved_artifacts
I,sonnet,R00,user_literal,all,64,W,0,verified_from_saved_artifacts
I,sonnet,R00,user_literal,all,64,answerable,0,verified_from_saved_artifacts
I,sonnet,R00,user_literal,all,64,invalid,0,verified_from_saved_artifacts
I,sonnet,R00,prior_external,all,64,G,64,verified_from_saved_artifacts
I,sonnet,R00,prior_external,all,64,D,64,verified_from_saved_artifacts
I,sonnet,R00,prior_external,all,64,A,0,verified_from_saved_artifacts
I,sonnet,R00,prior_external,all,64,U,0,verified_from_saved_artifacts
I,sonnet,R00,prior_external,all,64,U_unknown,0,verified_from_saved_artifacts
I,sonnet,R00,prior_external,all,64,W,64,verified_from_saved_artifacts
I,sonnet,R00,prior_external,all,64,answerable,64,verified_from_saved_artifacts
I,sonnet,R00,prior_external,all,64,invalid,0,verified_from_saved_artifacts
I,sonnet,R00,basis_relation,all,64,G,64,verified_from_saved_artifacts
I,sonnet,R00,basis_relation,all,64,D,0,verified_from_saved_artifacts
I,sonnet,R00,basis_relation,all,64,A,64,verified_from_saved_artifacts
I,sonnet,R00,basis_relation,all,64,U,0,verified_from_saved_artifacts
I,sonnet,R00,basis_relation,all,64,U_unknown,0,verified_from_saved_artifacts
I,sonnet,R00,basis_relation,all,64,W,0,verified_from_saved_artifacts
I,sonnet,R00,basis_relation,all,64,answerable,0,verified_from_saved_artifacts
I,sonnet,R00,basis_relation,all,64,invalid,0,verified_from_saved_artifacts
I,sonnet,R10,user_literal,all,64,G,64,verified_from_saved_artifacts
I,sonnet,R10,user_literal,all,64,D,0,verified_from_saved_artifacts
I,sonnet,R10,user_literal,all,64,A,64,verified_from_saved_artifacts
I,sonnet,R10,user_literal,all,64,U,0,verified_from_saved_artifacts
I,sonnet,R10,user_literal,all,64,U_unknown,0,verified_from_saved_artifacts
I,sonnet,R10,user_literal,all,64,W,0,verified_from_saved_artifacts
I,sonnet,R10,user_literal,all,64,answerable,0,verified_from_saved_artifacts
I,sonnet,R10,user_literal,all,64,invalid,0,verified_from_saved_artifacts
I,sonnet,R10,prior_external,all,64,G,63,verified_from_saved_artifacts
I,sonnet,R10,prior_external,all,64,D,63,verified_from_saved_artifacts
I,sonnet,R10,prior_external,all,64,A,0,verified_from_saved_artifacts
I,sonnet,R10,prior_external,all,64,U,1,verified_from_saved_artifacts
I,sonnet,R10,prior_external,all,64,U_unknown,0,verified_from_saved_artifacts
I,sonnet,R10,prior_external,all,64,W,63,verified_from_saved_artifacts
I,sonnet,R10,prior_external,all,64,answerable,64,verified_from_saved_artifacts
I,sonnet,R10,prior_external,all,64,invalid,0,verified_from_saved_artifacts
I,sonnet,R10,basis_relation,all,64,G,24,verified_from_saved_artifacts
I,sonnet,R10,basis_relation,all,64,D,21,verified_from_saved_artifacts
I,sonnet,R10,basis_relation,all,64,A,3,verified_from_saved_artifacts
I,sonnet,R10,basis_relation,all,64,U,28,verified_from_saved_artifacts
I,sonnet,R10,basis_relation,all,64,U_unknown,0,verified_from_saved_artifacts
I,sonnet,R10,basis_relation,all,64,W,44,verified_from_saved_artifacts
I,sonnet,R10,basis_relation,all,64,answerable,36,verified_from_saved_artifacts
I,sonnet,R10,basis_relation,all,64,invalid,0,verified_from_saved_artifacts
I,sonnet,R01,user_literal,all,64,G,64,verified_from_saved_artifacts
I,sonnet,R01,user_literal,all,64,D,64,verified_from_saved_artifacts
I,sonnet,R01,user_literal,all,64,A,0,verified_from_saved_artifacts
I,sonnet,R01,user_literal,all,64,U,0,verified_from_saved_artifacts
I,sonnet,R01,user_literal,all,64,U_unknown,0,verified_from_saved_artifacts
I,sonnet,R01,user_literal,all,64,W,64,verified_from_saved_artifacts
I,sonnet,R01,user_literal,all,64,answerable,64,verified_from_saved_artifacts
I,sonnet,R01,user_literal,all,64,invalid,0,verified_from_saved_artifacts
I,sonnet,R01,prior_external,all,64,G,64,verified_from_saved_artifacts
I,sonnet,R01,prior_external,all,64,D,64,verified_from_saved_artifacts
I,sonnet,R01,prior_external,all,64,A,0,verified_from_saved_artifacts
I,sonnet,R01,prior_external,all,64,U,0,verified_from_saved_artifacts
I,sonnet,R01,prior_external,all,64,U_unknown,0,verified_from_saved_artifacts
I,sonnet,R01,prior_external,all,64,W,64,verified_from_saved_artifacts
I,sonnet,R01,prior_external,all,64,answerable,64,verified_from_saved_artifacts
I,sonnet,R01,prior_external,all,64,invalid,0,verified_from_saved_artifacts
I,sonnet,R01,basis_relation,all,64,G,58,verified_from_saved_artifacts
I,sonnet,R01,basis_relation,all,64,D,0,verified_from_saved_artifacts
I,sonnet,R01,basis_relation,all,64,A,58,verified_from_saved_artifacts
I,sonnet,R01,basis_relation,all,64,U,6,verified_from_saved_artifacts
I,sonnet,R01,basis_relation,all,64,U_unknown,0,verified_from_saved_artifacts
I,sonnet,R01,basis_relation,all,64,W,3,verified_from_saved_artifacts
I,sonnet,R01,basis_relation,all,64,answerable,0,verified_from_saved_artifacts
I,sonnet,R01,basis_relation,all,64,invalid,0,verified_from_saved_artifacts
I,sonnet,R11,user_literal,all,64,G,59,verified_from_saved_artifacts
I,sonnet,R11,user_literal,all,64,D,59,verified_from_saved_artifacts
I,sonnet,R11,user_literal,all,64,A,0,verified_from_saved_artifacts
I,sonnet,R11,user_literal,all,64,U,5,verified_from_saved_artifacts
I,sonnet,R11,user_literal,all,64,U_unknown,0,verified_from_saved_artifacts
I,sonnet,R11,user_literal,all,64,W,59,verified_from_saved_artifacts
I,sonnet,R11,user_literal,all,64,answerable,64,verified_from_saved_artifacts
I,sonnet,R11,user_literal,all,64,invalid,0,verified_from_saved_artifacts
I,sonnet,R11,prior_external,all,64,G,64,verified_from_saved_artifacts
I,sonnet,R11,prior_external,all,64,D,64,verified_from_saved_artifacts
I,sonnet,R11,prior_external,all,64,A,0,verified_from_saved_artifacts
I,sonnet,R11,prior_external,all,64,U,0,verified_from_saved_artifacts
I,sonnet,R11,prior_external,all,64,U_unknown,0,verified_from_saved_artifacts
I,sonnet,R11,prior_external,all,64,W,64,verified_from_saved_artifacts
I,sonnet,R11,prior_external,all,64,answerable,64,verified_from_saved_artifacts
I,sonnet,R11,prior_external,all,64,invalid,0,verified_from_saved_artifacts
I,sonnet,R11,basis_relation,all,64,G,50,verified_from_saved_artifacts
I,sonnet,R11,basis_relation,all,64,D,50,verified_from_saved_artifacts
I,sonnet,R11,basis_relation,all,64,A,0,verified_from_saved_artifacts
I,sonnet,R11,basis_relation,all,64,U,7,verified_from_saved_artifacts
I,sonnet,R11,basis_relation,all,64,U_unknown,0,verified_from_saved_artifacts
I,sonnet,R11,basis_relation,all,64,W,50,verified_from_saved_artifacts
I,sonnet,R11,basis_relation,all,64,answerable,64,verified_from_saved_artifacts
I,sonnet,R11,basis_relation,all,64,invalid,0,verified_from_saved_artifacts
I,comparator,R00,user_literal,all,64,G,64,verified_from_saved_artifacts
I,comparator,R00,user_literal,all,64,D,0,verified_from_saved_artifacts
I,comparator,R00,user_literal,all,64,A,64,verified_from_saved_artifacts
I,comparator,R00,user_literal,all,64,U,0,verified_from_saved_artifacts
I,comparator,R00,user_literal,all,64,U_unknown,0,verified_from_saved_artifacts
I,comparator,R00,user_literal,all,64,W,0,verified_from_saved_artifacts
I,comparator,R00,user_literal,all,64,answerable,0,verified_from_saved_artifacts
I,comparator,R00,user_literal,all,64,invalid,0,verified_from_saved_artifacts
I,comparator,R00,prior_external,all,64,G,64,verified_from_saved_artifacts
I,comparator,R00,prior_external,all,64,D,64,verified_from_saved_artifacts
I,comparator,R00,prior_external,all,64,A,0,verified_from_saved_artifacts
I,comparator,R00,prior_external,all,64,U,0,verified_from_saved_artifacts
I,comparator,R00,prior_external,all,64,U_unknown,0,verified_from_saved_artifacts
I,comparator,R00,prior_external,all,64,W,64,verified_from_saved_artifacts
I,comparator,R00,prior_external,all,64,answerable,64,verified_from_saved_artifacts
I,comparator,R00,prior_external,all,64,invalid,0,verified_from_saved_artifacts
I,comparator,R00,basis_relation,all,64,G,64,verified_from_saved_artifacts
I,comparator,R00,basis_relation,all,64,D,0,verified_from_saved_artifacts
I,comparator,R00,basis_relation,all,64,A,64,verified_from_saved_artifacts
I,comparator,R00,basis_relation,all,64,U,0,verified_from_saved_artifacts
I,comparator,R00,basis_relation,all,64,U_unknown,0,verified_from_saved_artifacts
I,comparator,R00,basis_relation,all,64,W,0,verified_from_saved_artifacts
I,comparator,R00,basis_relation,all,64,answerable,0,verified_from_saved_artifacts
I,comparator,R00,basis_relation,all,64,invalid,0,verified_from_saved_artifacts
I,comparator,R10,user_literal,all,64,G,64,verified_from_saved_artifacts
I,comparator,R10,user_literal,all,64,D,0,verified_from_saved_artifacts
I,comparator,R10,user_literal,all,64,A,64,verified_from_saved_artifacts
I,comparator,R10,user_literal,all,64,U,0,verified_from_saved_artifacts
I,comparator,R10,user_literal,all,64,U_unknown,0,verified_from_saved_artifacts
I,comparator,R10,user_literal,all,64,W,0,verified_from_saved_artifacts
I,comparator,R10,user_literal,all,64,answerable,0,verified_from_saved_artifacts
I,comparator,R10,user_literal,all,64,invalid,0,verified_from_saved_artifacts
I,comparator,R10,prior_external,all,64,G,64,verified_from_saved_artifacts
I,comparator,R10,prior_external,all,64,D,64,verified_from_saved_artifacts
I,comparator,R10,prior_external,all,64,A,0,verified_from_saved_artifacts
I,comparator,R10,prior_external,all,64,U,0,verified_from_saved_artifacts
I,comparator,R10,prior_external,all,64,U_unknown,0,verified_from_saved_artifacts
I,comparator,R10,prior_external,all,64,W,64,verified_from_saved_artifacts
I,comparator,R10,prior_external,all,64,answerable,64,verified_from_saved_artifacts
I,comparator,R10,prior_external,all,64,invalid,0,verified_from_saved_artifacts
I,comparator,R10,basis_relation,all,64,G,64,verified_from_saved_artifacts
I,comparator,R10,basis_relation,all,64,D,36,verified_from_saved_artifacts
I,comparator,R10,basis_relation,all,64,A,28,verified_from_saved_artifacts
I,comparator,R10,basis_relation,all,64,U,0,verified_from_saved_artifacts
I,comparator,R10,basis_relation,all,64,U_unknown,0,verified_from_saved_artifacts
I,comparator,R10,basis_relation,all,64,W,36,verified_from_saved_artifacts
I,comparator,R10,basis_relation,all,64,answerable,36,verified_from_saved_artifacts
I,comparator,R10,basis_relation,all,64,invalid,0,verified_from_saved_artifacts
I,comparator,R01,user_literal,all,64,G,64,verified_from_saved_artifacts
I,comparator,R01,user_literal,all,64,D,64,verified_from_saved_artifacts
I,comparator,R01,user_literal,all,64,A,0,verified_from_saved_artifacts
I,comparator,R01,user_literal,all,64,U,0,verified_from_saved_artifacts
I,comparator,R01,user_literal,all,64,U_unknown,0,verified_from_saved_artifacts
I,comparator,R01,user_literal,all,64,W,64,verified_from_saved_artifacts
I,comparator,R01,user_literal,all,64,answerable,64,verified_from_saved_artifacts
I,comparator,R01,user_literal,all,64,invalid,0,verified_from_saved_artifacts
I,comparator,R01,prior_external,all,64,G,64,verified_from_saved_artifacts
I,comparator,R01,prior_external,all,64,D,64,verified_from_saved_artifacts
I,comparator,R01,prior_external,all,64,A,0,verified_from_saved_artifacts
I,comparator,R01,prior_external,all,64,U,0,verified_from_saved_artifacts
I,comparator,R01,prior_external,all,64,U_unknown,0,verified_from_saved_artifacts
I,comparator,R01,prior_external,all,64,W,64,verified_from_saved_artifacts
I,comparator,R01,prior_external,all,64,answerable,64,verified_from_saved_artifacts
I,comparator,R01,prior_external,all,64,invalid,0,verified_from_saved_artifacts
I,comparator,R01,basis_relation,all,64,G,64,verified_from_saved_artifacts
I,comparator,R01,basis_relation,all,64,D,0,verified_from_saved_artifacts
I,comparator,R01,basis_relation,all,64,A,64,verified_from_saved_artifacts
I,comparator,R01,basis_relation,all,64,U,0,verified_from_saved_artifacts
I,comparator,R01,basis_relation,all,64,U_unknown,0,verified_from_saved_artifacts
I,comparator,R01,basis_relation,all,64,W,0,verified_from_saved_artifacts
I,comparator,R01,basis_relation,all,64,answerable,0,verified_from_saved_artifacts
I,comparator,R01,basis_relation,all,64,invalid,0,verified_from_saved_artifacts
I,comparator,R11,user_literal,all,64,G,64,verified_from_saved_artifacts
I,comparator,R11,user_literal,all,64,D,64,verified_from_saved_artifacts
I,comparator,R11,user_literal,all,64,A,0,verified_from_saved_artifacts
I,comparator,R11,user_literal,all,64,U,0,verified_from_saved_artifacts
I,comparator,R11,user_literal,all,64,U_unknown,0,verified_from_saved_artifacts
I,comparator,R11,user_literal,all,64,W,64,verified_from_saved_artifacts
I,comparator,R11,user_literal,all,64,answerable,64,verified_from_saved_artifacts
I,comparator,R11,user_literal,all,64,invalid,0,verified_from_saved_artifacts
I,comparator,R11,prior_external,all,64,G,64,verified_from_saved_artifacts
I,comparator,R11,prior_external,all,64,D,64,verified_from_saved_artifacts
I,comparator,R11,prior_external,all,64,A,0,verified_from_saved_artifacts
I,comparator,R11,prior_external,all,64,U,0,verified_from_saved_artifacts
I,comparator,R11,prior_external,all,64,U_unknown,0,verified_from_saved_artifacts
I,comparator,R11,prior_external,all,64,W,64,verified_from_saved_artifacts
I,comparator,R11,prior_external,all,64,answerable,64,verified_from_saved_artifacts
I,comparator,R11,prior_external,all,64,invalid,0,verified_from_saved_artifacts
I,comparator,R11,basis_relation,all,64,G,64,verified_from_saved_artifacts
I,comparator,R11,basis_relation,all,64,D,64,verified_from_saved_artifacts
I,comparator,R11,basis_relation,all,64,A,0,verified_from_saved_artifacts
I,comparator,R11,basis_relation,all,64,U,0,verified_from_saved_artifacts
I,comparator,R11,basis_relation,all,64,U_unknown,0,verified_from_saved_artifacts
I,comparator,R11,basis_relation,all,64,W,64,verified_from_saved_artifacts
I,comparator,R11,basis_relation,all,64,answerable,64,verified_from_saved_artifacts
I,comparator,R11,basis_relation,all,64,invalid,0,verified_from_saved_artifacts
II,luna,C00,user_literal,all,64,G,55,verified_from_saved_artifacts
II,luna,C00,user_literal,all,64,D,0,verified_from_saved_artifacts
II,luna,C00,user_literal,all,64,A,55,verified_from_saved_artifacts
II,luna,C00,user_literal,all,64,U,9,verified_from_saved_artifacts
II,luna,C00,user_literal,all,64,U_unknown,0,verified_from_saved_artifacts
II,luna,C00,user_literal,all,64,W,4,verified_from_saved_artifacts
II,luna,C00,user_literal,all,64,answerable,0,verified_from_saved_artifacts
II,luna,C00,user_literal,all,64,invalid,0,verified_from_saved_artifacts
II,luna,C00,prior_external,all,64,G,49,verified_from_saved_artifacts
II,luna,C00,prior_external,all,64,D,49,verified_from_saved_artifacts
II,luna,C00,prior_external,all,64,A,0,verified_from_saved_artifacts
II,luna,C00,prior_external,all,64,U,4,verified_from_saved_artifacts
II,luna,C00,prior_external,all,64,U_unknown,0,verified_from_saved_artifacts
II,luna,C00,prior_external,all,64,W,49,verified_from_saved_artifacts
II,luna,C00,prior_external,all,64,answerable,64,verified_from_saved_artifacts
II,luna,C00,prior_external,all,64,invalid,0,verified_from_saved_artifacts
II,luna,C00,basis_relation,all,64,G,38,verified_from_saved_artifacts
II,luna,C00,basis_relation,all,64,D,31,verified_from_saved_artifacts
II,luna,C00,basis_relation,all,64,A,7,verified_from_saved_artifacts
II,luna,C00,basis_relation,all,64,U,21,verified_from_saved_artifacts
II,luna,C00,basis_relation,all,64,U_unknown,0,verified_from_saved_artifacts
II,luna,C00,basis_relation,all,64,W,43,verified_from_saved_artifacts
II,luna,C00,basis_relation,all,64,answerable,36,verified_from_saved_artifacts
II,luna,C00,basis_relation,all,64,invalid,0,verified_from_saved_artifacts
II,luna,C00,basis_relation,mapping_required,28,G,7,verified_from_saved_artifacts
II,luna,C00,basis_relation,mapping_required,28,D,0,verified_from_saved_artifacts
II,luna,C00,basis_relation,mapping_required,28,A,7,verified_from_saved_artifacts
II,luna,C00,basis_relation,mapping_required,28,U,21,verified_from_saved_artifacts
II,luna,C00,basis_relation,mapping_required,28,W_and_U,12,verified_from_saved_artifacts
II,luna,C10,user_literal,all,64,G,54,verified_from_saved_artifacts
II,luna,C10,user_literal,all,64,D,0,verified_from_saved_artifacts
II,luna,C10,user_literal,all,64,A,54,verified_from_saved_artifacts
II,luna,C10,user_literal,all,64,U,10,verified_from_saved_artifacts
II,luna,C10,user_literal,all,64,U_unknown,0,verified_from_saved_artifacts
II,luna,C10,user_literal,all,64,W,5,verified_from_saved_artifacts
II,luna,C10,user_literal,all,64,answerable,0,verified_from_saved_artifacts
II,luna,C10,user_literal,all,64,invalid,0,verified_from_saved_artifacts
II,luna,C10,prior_external,all,64,G,52,verified_from_saved_artifacts
II,luna,C10,prior_external,all,64,D,52,verified_from_saved_artifacts
II,luna,C10,prior_external,all,64,A,0,verified_from_saved_artifacts
II,luna,C10,prior_external,all,64,U,5,verified_from_saved_artifacts
II,luna,C10,prior_external,all,64,U_unknown,0,verified_from_saved_artifacts
II,luna,C10,prior_external,all,64,W,52,verified_from_saved_artifacts
II,luna,C10,prior_external,all,64,answerable,64,verified_from_saved_artifacts
II,luna,C10,prior_external,all,64,invalid,0,verified_from_saved_artifacts
II,luna,C10,basis_relation,all,64,G,49,verified_from_saved_artifacts
II,luna,C10,basis_relation,all,64,D,49,verified_from_saved_artifacts
II,luna,C10,basis_relation,all,64,A,0,verified_from_saved_artifacts
II,luna,C10,basis_relation,all,64,U,9,verified_from_saved_artifacts
II,luna,C10,basis_relation,all,64,U_unknown,0,verified_from_saved_artifacts
II,luna,C10,basis_relation,all,64,W,49,verified_from_saved_artifacts
II,luna,C10,basis_relation,all,64,answerable,64,verified_from_saved_artifacts
II,luna,C10,basis_relation,all,64,invalid,0,verified_from_saved_artifacts
II,luna,C10,basis_relation,mapping_required,28,G,21,verified_from_saved_artifacts
II,luna,C10,basis_relation,mapping_required,28,D,21,verified_from_saved_artifacts
II,luna,C10,basis_relation,mapping_required,28,A,0,verified_from_saved_artifacts
II,luna,C10,basis_relation,mapping_required,28,U,5,verified_from_saved_artifacts
II,luna,C10,basis_relation,mapping_required,28,W_and_U,0,verified_from_saved_artifacts
II,luna,C01,user_literal,all,64,G,60,verified_from_saved_artifacts
II,luna,C01,user_literal,all,64,D,0,verified_from_saved_artifacts
II,luna,C01,user_literal,all,64,A,60,verified_from_saved_artifacts
II,luna,C01,user_literal,all,64,U,4,verified_from_saved_artifacts
II,luna,C01,user_literal,all,64,U_unknown,0,verified_from_saved_artifacts
II,luna,C01,user_literal,all,64,W,2,verified_from_saved_artifacts
II,luna,C01,user_literal,all,64,answerable,0,verified_from_saved_artifacts
II,luna,C01,user_literal,all,64,invalid,0,verified_from_saved_artifacts
II,luna,C01,prior_external,all,64,G,48,verified_from_saved_artifacts
II,luna,C01,prior_external,all,64,D,48,verified_from_saved_artifacts
II,luna,C01,prior_external,all,64,A,0,verified_from_saved_artifacts
II,luna,C01,prior_external,all,64,U,5,verified_from_saved_artifacts
II,luna,C01,prior_external,all,64,U_unknown,0,verified_from_saved_artifacts
II,luna,C01,prior_external,all,64,W,48,verified_from_saved_artifacts
II,luna,C01,prior_external,all,64,answerable,64,verified_from_saved_artifacts
II,luna,C01,prior_external,all,64,invalid,0,verified_from_saved_artifacts
II,luna,C01,basis_relation,all,64,G,42,verified_from_saved_artifacts
II,luna,C01,basis_relation,all,64,D,28,verified_from_saved_artifacts
II,luna,C01,basis_relation,all,64,A,14,verified_from_saved_artifacts
II,luna,C01,basis_relation,all,64,U,15,verified_from_saved_artifacts
II,luna,C01,basis_relation,all,64,U_unknown,0,verified_from_saved_artifacts
II,luna,C01,basis_relation,all,64,W,39,verified_from_saved_artifacts
II,luna,C01,basis_relation,all,64,answerable,36,verified_from_saved_artifacts
II,luna,C01,basis_relation,all,64,invalid,0,verified_from_saved_artifacts
II,luna,C01,basis_relation,mapping_required,28,G,14,verified_from_saved_artifacts
II,luna,C01,basis_relation,mapping_required,28,D,0,verified_from_saved_artifacts
II,luna,C01,basis_relation,mapping_required,28,A,14,verified_from_saved_artifacts
II,luna,C01,basis_relation,mapping_required,28,U,14,verified_from_saved_artifacts
II,luna,C01,basis_relation,mapping_required,28,W_and_U,11,verified_from_saved_artifacts
II,luna,C11,user_literal,all,64,G,54,verified_from_saved_artifacts
II,luna,C11,user_literal,all,64,D,0,verified_from_saved_artifacts
II,luna,C11,user_literal,all,64,A,54,verified_from_saved_artifacts
II,luna,C11,user_literal,all,64,U,10,verified_from_saved_artifacts
II,luna,C11,user_literal,all,64,U_unknown,0,verified_from_saved_artifacts
II,luna,C11,user_literal,all,64,W,5,verified_from_saved_artifacts
II,luna,C11,user_literal,all,64,answerable,0,verified_from_saved_artifacts
II,luna,C11,user_literal,all,64,invalid,0,verified_from_saved_artifacts
II,luna,C11,prior_external,all,64,G,50,verified_from_saved_artifacts
